"","Phylum","Accum_betw.x","trt.x","Accum_betw.y","trt.y"
"1","Acidobacteria",2117.585606133,"M",572040.51545253,"M+Cd"
"2","Actinobacteria",931.06666667,"M",121077.1947217,"M+Cd"
"3","Armatimonadetes",267.5,"M",89971.2488312,"M+Cd"
"4","Bacteroidetes",627.066666666,"M",300376.656809493,"M+Cd"
"5","BRC1",NA,NA,2,"M+Cd"
"6","Chlamydiae",0,"M",0,"M+Cd"
"7","Chloroflexi",410.66666667,"M",232949.31620363,"M+Cd"
"8","Cyanobacteria",382,"M",25.33333333,"M+Cd"
"9","Elusimicrobia",0,"M",40047.32885,"M+Cd"
"10","Firmicutes",13883.83538947,"M",619557.70376744,"M+Cd"
"11","Gemmatimonadetes",178.5,"M",81709.0349833,"M+Cd"
"12","Latescibacteria",663,"M",7820.431536,"M+Cd"
"13","Nitrospirae",94,"M",5173,"M+Cd"
"14","Patescibacteria",426.85,"M",22398.97115,"M+Cd"
"15","Planctomycetes",882.53333333,"M",299678.563604855,"M+Cd"
"16","Proteobacteria",2725.99567104,"M",592594.35090917,"M+Cd"
"17","Rokubacteria",0,"M",6982.402324,"M+Cd"
"18","Verrucomicrobia",132.06666667,"M",194588.4386397,"M+Cd"
"19",NA,83.33333333,"M",62256.5088623,"M+Cd"
