"","Phylum","Accum_degree.x","trt.x","Accum_degree.y","trt.y"
"1","Acidobacteria",262,"M",562,"M+Cd"
"2","Actinobacteria",82,"M",132,"M+Cd"
"3","Armatimonadetes",20,"M",48,"M+Cd"
"4","Bacteroidetes",148,"M",293,"M+Cd"
"5","BRC1",NA,NA,6,"M+Cd"
"6","Chlamydiae",5,"M",2,"M+Cd"
"7","Chloroflexi",145,"M",234,"M+Cd"
"8","Cyanobacteria",11,"M",12,"M+Cd"
"9","Elusimicrobia",2,"M",2,"M+Cd"
"10","Firmicutes",302,"M",434,"M+Cd"
"11","Gemmatimonadetes",58,"M",89,"M+Cd"
"12","Latescibacteria",10,"M",19,"M+Cd"
"13","Nitrospirae",8,"M",11,"M+Cd"
"14","Patescibacteria",44,"M",29,"M+Cd"
"15","Planctomycetes",207,"M",378,"M+Cd"
"16","Proteobacteria",347,"M",696,"M+Cd"
"17","Rokubacteria",3,"M",6,"M+Cd"
"18","Verrucomicrobia",81,"M",161,"M+Cd"
"19",NA,35,"M",54,"M+Cd"
