"","Phylum","Accum_betw.x","trt.x","Accum_betw.y","trt.y","Accum_betw.x","trt.x","Accum_betw.y","trt.y"
"1","Acidobacteria",1053.833333359,"Ctrl",739.36666667,"Cd",840.166666663,"M",10689.0673715,"M+Cd"
"2","Actinobacteria",433.66666667,"Ctrl",106.666666667,"Cd",116.833333333,"M",869.8147684,"M+Cd"
"3","Armatimonadetes",56,"Ctrl",22,"Cd",38,"M",258.5,"M+Cd"
"4","Bacteroidetes",453.166666663,"Ctrl",589.88333333,"Cd",535.333333326,"M",6214.757012823,"M+Cd"
"5","BRC1",21.33333333,"Ctrl",9,"Cd",4,"M",0,"M+Cd"
"6","Chlamydiae",NA,NA,NA,NA,NA,NA,0,"M+Cd"
"7","Chloroflexi",108,"Ctrl",89,"Cd",359.16666667,"M",4229.810422873,"M+Cd"
"8","Cyanobacteria",39,"Ctrl",1,"Cd",7.5,"M",2141,"M+Cd"
"9","Dependentiae",2.333333333,"Ctrl",NA,NA,4,"M",0,"M+Cd"
"10","Elusimicrobia",NA,NA,0,"Cd",NA,NA,NA,NA
"11","FBP",0,"Ctrl",0,"Cd",5,"M",NA,NA
"12","Fibrobacteres",NA,NA,0,"Cd",2,"M",2,"M+Cd"
"13","Firmicutes",521.499999993,"Ctrl",33.55,"Cd",598.499999997,"M",3129.54068849,"M+Cd"
"14","Gemmatimonadetes",191.5,"Ctrl",118,"Cd",351.833333333,"M",7964.166667,"M+Cd"
"15","Latescibacteria",0,"Ctrl",8,"Cd",8,"M",0,"M+Cd"
"16","Nitrospirae",2,"Ctrl",0,"Cd",NA,NA,0,"M+Cd"
"17","Patescibacteria",25.833333333,"Ctrl",170.166666666,"Cd",72.166666667,"M",3129.333333333,"M+Cd"
"18","Planctomycetes",581.33333333,"Ctrl",239.5,"Cd",749.33333333,"M",1656.2,"M+Cd"
"19","Proteobacteria",1606.500000006,"Ctrl",1016.233333333,"Cd",2128.333333367,"M",34309.355273593,"M+Cd"
"20","Rokubacteria",0,"Ctrl",0,"Cd",14,"M",159.6666667,"M+Cd"
"21","Verrucomicrobia",324,"Ctrl",563.63333333,"Cd",213.83333333,"M",2953.78779547,"M+Cd"
"22",NA,1,"Ctrl",27,"Cd",9,"M",135,"M+Cd"
